Posted On,BHK,Rent,Size,Floor,City,Furnishing Status,Tenant Preferred,Bathroom
2022-06-22,1,4000,400,2 out of 3,Chennai,Unfurnished,Bachelors/Family,1
2022-07-06,1,9000,600,1 out of 4,Hyderabad,Semi-Furnished,Bachelors/Family,1
2022-06-14,2,5500,650,2 out of 2,Kolkata,Unfurnished,Bachelors/Family,1
2022-06-29,2,12500,1075,1 out of 2,Chennai,Semi-Furnished,Bachelors/Family,2
2022-06-02,2,8500,700,2 out of 3,Hyderabad,Semi-Furnished,Bachelors/Family,1
2022-05-25,3,20000,1065,4 out of 5,Chennai,Semi-Furnished,Bachelors/Family,3
2022-05-12,2,10000,900,1 out of 3,Hyderabad,Semi-Furnished,Bachelors/Family,2
2022-06-23,1,11000,450,1 out of 4,Bangalore,Semi-Furnished,Bachelors/Family,1
2022-06-04,2,250000,1300,Upper Basement out of 10,Mumbai,Furnished,Bachelors/Family,2
2022-06-18,3,20000,1651,2 out of 3,Chennai,Semi-Furnished,Family,3
2022-06-29,3,60000,1800,9 out of 9,Chennai,Semi-Furnished,Bachelors,3
2022-05-15,2,7000,700,Ground out of 3,Kolkata,Unfurnished,Bachelors,1
2022-05-14,3,47000,1550,Ground out of 3,Delhi,Semi-Furnished,Bachelors/Family,2
2022-06-04,2,17000,1000,3 out of 4,Bangalore,Semi-Furnished,Bachelors/Family,2
2022-05-30,1,7000,150,Ground out of 2,Hyderabad,Unfurnished,Bachelors/Family,1
2022-07-08,3,150000,1250,5 out of 8,Mumbai,Semi-Furnished,Bachelors/Family,3
2022-07-04,3,90000,1110,9 out of 55,Mumbai,Furnished,Bachelors/Family,3
2022-04-29,1,18000,450,2 out of 4,Mumbai,Unfurnished,Bachelors/Family,1
2022-05-12,2,10000,950,1 out of 2,Chennai,Unfurnished,Family,2
2022-05-18,2,38000,150,Ground out of 4,Delhi,Unfurnished,Bachelors/Family,2
2022-06-08,3,16500,1600,2 out of 5,Hyderabad,Semi-Furnished,Family,3
2022-07-06,2,95000,955,34 out of 40,Mumbai,Semi-Furnished,Bachelors,2
2022-06-08,1,3000,350,Ground out of 3,Kolkata,Unfurnished,Bachelors/Family,1
2022-06-16,4,100000,1454,5 out of 7,Mumbai,Unfurnished,Bachelors/Family,4
2022-06-14,4,100000,2240,Ground out of 3,Chennai,Furnished,Bachelors/Family,4
2022-06-24,2,14000,1050,1 out of 1,Chennai,Unfurnished,Bachelors,2
2022-06-25,2,25000,1500,Ground out of 2,Hyderabad,Semi-Furnished,Bachelors/Family,2
2022-06-22,1,8500,700,Ground out of 3,Hyderabad,Unfurnished,Bachelors/Family,1
2022-07-10,3,49000,1700,7 out of 15,Chennai,Furnished,Bachelors,3
2022-05-20,1,17000,625,4 out of 10,Chennai,Semi-Furnished,Bachelors/Family,1
2022-07-07,2,14000,900,2 out of 3,Bangalore,Semi-Furnished,Bachelors/Family,2
2022-05-10,2,23000,84,Ground out of 4,Delhi,Semi-Furnished,Bachelors/Family,2
2022-05-10,1,8500,530,Ground out of 3,Delhi,Unfurnished,Bachelors/Family,1
2022-05-13,1,29999,433,8 out of 20,Mumbai,Semi-Furnished,Bachelors/Family,2
2022-06-08,2,45000,1320,Lower Basement out of 2,Kolkata,Furnished,Bachelors/Family,2
2022-07-01,2,17000,1000,Ground out of 2,Chennai,Unfurnished,Bachelors/Family,2
2022-06-16,2,6000,550,1 out of 1,Kolkata,Semi-Furnished,Bachelors/Family,1
2022-05-05,1,13000,180,2 out of 2,Delhi,Unfurnished,Bachelors,1
2022-05-10,1,25000,490,7 out of 8,Mumbai,Semi-Furnished,Bachelors/Family,1
2022-07-09,2,22000,900,2 out of 4,Delhi,Semi-Furnished,Bachelors,2
2022-06-08,2,10000,600,2 out of 4,Bangalore,Semi-Furnished,Bachelors/Family,2
2022-06-04,3,200000,1375,15 out of 60,Mumbai,Semi-Furnished,Family,3
2022-06-27,3,45000,1600,1 out of 4,Bangalore,Semi-Furnished,Bachelors/Family,3
2022-06-16,3,42000,950,5 out of 7,Mumbai,Unfurnished,Bachelors/Family,3
2022-06-06,2,7000,1000,1 out of 2,Hyderabad,Semi-Furnished,Bachelors/Family,3
2022-06-19,2,14000,1200,1 out of 2,Kolkata,Unfurnished,Bachelors/Family,2
2022-06-03,4,150000,1705,16 out of 29,Mumbai,Semi-Furnished,Family,3
2022-06-11,3,25000,1650,3 out of 4,Hyderabad,Semi-Furnished,Bachelors,2
2022-07-03,3,35000,1320,Ground out of 2,Kolkata,Unfurnished,Bachelors,2
2022-05-06,1,5000,190,Ground out of 2,Kolkata,Semi-Furnished,Bachelors/Family,1
2022-07-09,2,85000,777,18 out of 24,Mumbai,Semi-Furnished,Bachelors/Family,2
2022-06-22,2,20000,1170,1 out of 2,Hyderabad,Unfurnished,Bachelors/Family,2
2022-06-01,3,16500,1530,9 out of 13,Chennai,Semi-Furnished,Bachelors/Family,3
2022-06-09,3,35000,1675,5 out of 12,Hyderabad,Unfurnished,Bachelors/Family,3
2022-07-06,2,32000,900,Ground out of 4,Delhi,Furnished,Bachelors/Family,2
2022-06-14,2,30000,450,2 out of 3,Bangalore,Unfurnished,Bachelors/Family,2
2022-06-18,2,20000,900,2 out of 4,Hyderabad,Semi-Furnished,Bachelors/Family,2
2022-06-08,1,9500,400,2 out of 4,Delhi,Unfurnished,Bachelors/Family,1
2022-05-10,2,12500,900,3 out of 4,Delhi,Unfurnished,Bachelors,2
2022-05-27,1,4500,600,1 out of 4,Bangalore,Unfurnished,Bachelors/Family,1
2022-06-03,2,8500,1050,1 out of 2,Hyderabad,Unfurnished,Bachelors/Family,2
2022-06-17,4,120000,2550,3 out of 4,Chennai,Semi-Furnished,Bachelors,4
2022-05-19,2,18000,1000,3 out of 4,Bangalore,Semi-Furnished,Bachelors/Family,2
2022-07-09,2,40000,680,5 out of 14,Mumbai,Furnished,Bachelors,2
2022-06-20,2,11000,960,1 out of 2,Chennai,Unfurnished,Family,2
2022-05-01,1,9000,500,3 out of 3,Hyderabad,Unfurnished,Bachelors/Family,3
2022-05-06,2,15000,805,Ground out of 2,Chennai,Semi-Furnished,Bachelors/Family,2
2022-05-31,2,50000,770,4 out of 14,Mumbai,Unfurnished,Bachelors/Family,2
2022-05-23,4,150000,2600,2 out of 2,Delhi,Semi-Furnished,Bachelors/Family,4
2022-06-15,3,16000,1305,2 out of 5,Hyderabad,Semi-Furnished,Bachelors/Family,2
2022-05-25,2,17000,1150,5 out of 6,Hyderabad,Furnished,Bachelors/Family,2
2022-06-19,1,4000,90,Ground out of 2,Delhi,Unfurnished,Bachelors/Family,2
2022-06-29,2,12000,1150,4 out of 5,Hyderabad,Furnished,Bachelors/Family,2
2022-05-29,4,180000,1691,20 out of 32,Mumbai,Semi-Furnished,Bachelors/Family,6
2022-05-12,3,15000,2000,Ground out of 1,Hyderabad,Semi-Furnished,Bachelors/Family,3
2022-06-06,3,16000,1200,Ground out of 2,Kolkata,Unfurnished,Bachelors/Family,2
2022-06-30,2,40000,650,7 out of 11,Mumbai,Unfurnished,Bachelors,2
2022-05-16,1,20000,650,1 out of 4,Delhi,Semi-Furnished,Bachelors/Family,1
2022-05-12,2,15000,850,Ground out of 2,Chennai,Furnished,Bachelors/Family,1
2022-06-20,1,6500,450,1 out of 4,Bangalore,Unfurnished,Bachelors,1
2022-05-04,2,7000,1200,1 out of 1,Hyderabad,Unfurnished,Bachelors/Family,2
2022-05-18,3,50000,1000,9 out of 15,Mumbai,Furnished,Bachelors/Family,3
2022-04-30,3,22000,1700,2 out of 3,Hyderabad,Semi-Furnished,Bachelors/Family,2
2022-05-05,2,22000,700,Ground out of 2,Delhi,Furnished,Bachelors/Family,2
2022-05-26,2,7000,650,Ground out of 2,Kolkata,Unfurnished,Bachelors/Family,1
2022-07-06,3,280000,2800,6 out of 30,Bangalore,Furnished,Bachelors/Family,3
2022-07-06,1,45000,500,9 out of 16,Mumbai,Unfurnished,Bachelors,2
2022-06-09,3,68000,1450,2 out of 4,Delhi,Semi-Furnished,Bachelors/Family,3
2022-07-06,3,90100,975,29 out of 35,Mumbai,Semi-Furnished,Bachelors/Family,2
2022-05-23,3,22500,1600,2 out of 4,Bangalore,Semi-Furnished,Bachelors/Family,3
2022-06-06,3,22000,1500,3 out of 6,Hyderabad,Semi-Furnished,Bachelors/Family,3
2022-05-06,3,45000,1780,1 out of 5,Chennai,Semi-Furnished,Bachelors/Family,3
2022-06-27,3,100000,1200,4 out of 15,Mumbai,Furnished,Bachelors/Family,3
2022-07-01,2,18000,1000,Ground out of 3,Bangalore,Semi-Furnished,Bachelors/Family,2
2022-07-06,3,45000,2600,2 out of 5,Hyderabad,Semi-Furnished,Bachelors/Family,3
2022-04-29,2,23000,1066,3 out of 4,Bangalore,Unfurnished,Bachelors/Family,2
2022-07-05,1,8000,550,2 out of 2,Chennai,Furnished,Bachelors/Family,1
2022-05-12,1,5500,500,Ground out of 3,Hyderabad,Unfurnished,Bachelors/Family,1
2022-06-24,2,7500,500,1 out of 2,Bangalore,Semi-Furnished,Bachelors/Family,1
2022-06-09,2,65000,960,16 out of 38,Mumbai,Semi-Furnished,Bachelors/Family,2
2022-07-06,1,30000,360,4 out of 20,Mumbai,Unfurnished,Bachelors/Family,1
2022-06-30,1,60000,455,18 out of 22,Mumbai,Unfurnished,Bachelors/Family,1
2022-05-21,2,65000,600,14 out of 17,Mumbai,Unfurnished,Bachelors,2
2022-06-22,2,13000,1000,1 out of 2,Delhi,Unfurnished,Bachelors/Family,1
2022-05-27,3,75000,1900,2 out of 3,Delhi,Furnished,Bachelors/Family,3
2022-06-17,2,33000,800,1 out of 4,Chennai,Unfurnished,Bachelors/Family,2
2022-05-23,1,4000,250,Ground out of 2,Bangalore,Unfurnished,Bachelors/Family,1
2022-06-22,2,25000,1340,7 out of 16,Chennai,Semi-Furnished,Family,2
2022-05-25,3,20000,1250,2 out of 6,Hyderabad,Unfurnished,Bachelors/Family,2
2022-06-02,2,9000,920,4 out of 4,Hyderabad,Semi-Furnished,Bachelors/Family,2
2022-05-02,1,8500,500,Ground out of 2,Chennai,Unfurnished,Bachelors/Family,1
2022-07-06,2,38000,1274,9 out of 32,Bangalore,Semi-Furnished,Bachelors/Family,2
2022-05-26,1,9000,950,1 out of 2,Kolkata,Unfurnished,Bachelors/Family,2
2022-05-31,1,12000,520,2 out of 3,Mumbai,Semi-Furnished,Bachelors/Family,1
2022-05-23,2,10000,535,3 out of 4,Bangalore,Unfurnished,Bachelors/Family,1
2022-05-05,2,12000,75,2 out of 4,Delhi,Furnished,Bachelors/Family,2
2022-04-30,1,4500,50,4 out of 5,Hyderabad,Unfurnished,Bachelors/Family,1
2022-07-03,2,7000,500,1 out of 1,Kolkata,Unfurnished,Bachelors,2
2022-07-06,2,13000,700,Ground out of 2,Chennai,Unfurnished,Bachelors/Family,2
2022-06-29,2,15000,1000,1 out of 3,Chennai,Semi-Furnished,Bachelors/Family,2
2022-07-06,2,48000,700,8 out of 15,Mumbai,Semi-Furnished,Bachelors/Family,2
2022-05-18,2,32000,1000,1 out of 3,Delhi,Unfurnished,Bachelors/Family,2
2022-06-10,2,15000,600,Ground out of 3,Bangalore,Unfurnished,Bachelors,2
2022-05-06,2,10000,927,3 out of 5,Hyderabad,Semi-Furnished,Bachelors/Family,2
2022-06-23,3,70000,850,5 out of 8,Mumbai,Unfurnished,Bachelors,3
2022-07-06,2,70000,660,Ground out of 6,Mumbai,Semi-Furnished,Bachelors/Family,2
2022-06-30,2,11500,675,3 out of 3,Hyderabad,Unfurnished,Bachelors,2
2022-04-30,1,7000,950,1 out of 5,Hyderabad,Semi-Furnished,Bachelors/Family,1
2022-06-04,3,25000,1500,Ground out of 3,Bangalore,Semi-Furnished,Bachelors/Family,2
2022-06-14,4,60000,2990,3 out of 13,Hyderabad,Semi-Furnished,Bachelors/Family,3
2022-07-06,2,12500,400,1 out of 4,Chennai,Unfurnished,Bachelors/Family,2
2022-06-15,1,40000,540,2 out of 4,Mumbai,Semi-Furnished,Family,2
2022-05-30,3,28000,1600,2 out of 4,Bangalore,Semi-Furnished,Bachelors/Family,3
2022-07-06,1,8000,400,3 out of 4,Hyderabad,Unfurnished,Bachelors/Family,1
2022-06-16,1,20000,400,3 out of 4,Mumbai,Semi-Furnished,Bachelors/Family,1
2022-07-04,2,17000,1000,3 out of 7,Mumbai,Unfurnished,Bachelors/Family,2
2022-06-22,1,7000,680,1 out of 3,Chennai,Unfurnished,Bachelors/Family,1
2022-06-02,2,10000,1285,2 out of 4,Hyderabad,Semi-Furnished,Bachelors/Family,2
2022-07-06,2,25000,1100,1 out of 5,Hyderabad,Furnished,Bachelors/Family,2
2022-07-03,1,45000,450,5 out of 7,Mumbai,Furnished,Family,2
2022-07-06,3,45000,1645,8 out of 19,Hyderabad,Semi-Furnished,Bachelors/Family,3
2022-06-17,2,6000,700,Ground out of 1,Kolkata,Unfurnished,Bachelors/Family,1
2022-05-28,2,15000,1500,Ground out of 2,Kolkata,Unfurnished,Bachelors/Family,2
2022-06-23,2,55000,750,5 out of 8,Mumbai,Furnished,Bachelors/Family,2
2022-06-04,2,10500,1000,Ground out of 3,Bangalore,Unfurnished,Bachelors/Family,1
2022-06-22,2,8500,1000,2 out of 3,Hyderabad,Semi-Furnished,Bachelors/Family,2
2022-05-22,2,41000,780,14 out of 18,Mumbai,Unfurnished,Bachelors/Family,2
2022-07-05,3,23382,1500,1 out of 1,Hyderabad,Semi-Furnished,Bachelors/Family,3
2022-07-06,3,70000,1520,23 out of 25,Bangalore,Semi-Furnished,Bachelors/Family,4
2022-05-21,2,7000,500,Ground out of 1,Kolkata,Semi-Furnished,Bachelors/Family,2
2022-07-04,2,20000,1105,1 out of 4,Bangalore,Semi-Furnished,Bachelors/Family,2
2022-06-03,3,18000,900,Ground out of 4,Delhi,Semi-Furnished,Bachelors/Family,1
2022-06-15,1,12000,550,1 out of 3,Bangalore,Semi-Furnished,Bachelors,1
2022-05-27,1,20000,400,3 out of 4,Delhi,Furnished,Bachelors/Family,1
2022-06-29,3,65000,1050,13 out of 21,Mumbai,Semi-Furnished,Bachelors,3
2022-05-19,2,8000,500,1 out of 3,Bangalore,Semi-Furnished,Bachelors/Family,1
2022-05-18,4,130000,1617,15 out of 58,Mumbai,Semi-Furnished,Bachelors/Family,5
2022-06-29,1,12000,550,Ground out of 3,Chennai,Unfurnished,Bachelors/Family,1
2022-05-12,3,25000,1600,4 out of 5,Hyderabad,Semi-Furnished,Bachelors/Family,3
2022-07-09,4,61500,2608,1 out of 4,Bangalore,Semi-Furnished,Bachelors,3
2022-06-14,3,35000,1912,1 out of 4,Chennai,Unfurnished,Bachelors,3
2022-07-03,2,5000,800,Ground out of 1,Kolkata,Unfurnished,Bachelors/Family,1
2022-06-04,1,5000,350,2 out of 2,Bangalore,Unfurnished,Bachelors/Family,1
2022-07-06,3,34000,2120,9 out of 18,Chennai,Furnished,Bachelors/Family,3
2022-06-14,2,12000,1200,2 out of 2,Chennai,Semi-Furnished,Bachelors,2
2022-06-04,2,7000,800,1 out of 3,Hyderabad,Unfurnished,Bachelors,2
2022-06-08,1,6000,400,Ground out of 1,Delhi,Unfurnished,Bachelors/Family,1
2022-07-08,3,35000,1000,3 out of 6,Hyderabad,Semi-Furnished,Bachelors/Family,3
2022-07-07,1,20000,280,11 out of 24,Mumbai,Semi-Furnished,Bachelors/Family,1
2022-05-10,1,20000,330,4 out of 8,Mumbai,Semi-Furnished,Bachelors/Family,1
2022-05-06,3,18000,1400,4 out of 5,Hyderabad,Semi-Furnished,Bachelors/Family,2
2022-06-30,4,250000,4500,Ground out of 2,Hyderabad,Semi-Furnished,Family,4
2022-06-02,2,12500,300,3 out of 4,Hyderabad,Furnished,Bachelors/Family,2
2022-06-15,2,5500,800,1 out of 4,Bangalore,Unfurnished,Bachelors/Family,1
2022-05-21,1,7500,350,Ground out of 2,Kolkata,Unfurnished,Bachelors/Family,1
2022-07-06,2,85000,850,1 out of 8,Mumbai,Furnished,Bachelors,2
2022-06-14,2,10000,1015,Ground out of 2,Chennai,Semi-Furnished,Bachelors/Family,3
